iter	Logloss
0	0.6853213667
1	0.6771684504
2	0.6686717442
3	0.660434645
4	0.6526205361
5	0.6440079877
6	0.6369330997
7	0.6295562537
8	0.6227866452
9	0.6164536249
10	0.6104898258
11	0.6044543519
12	0.5975706139
13	0.5907370639
14	0.5859721696
15	0.5811233521
16	0.5753672593
17	0.5706746108
18	0.5656700913
19	0.561129823
20	0.5550391788
21	0.5495027296
22	0.5452865289
23	0.5409488808
24	0.5363741505
25	0.5318267718
26	0.5273577632
27	0.5227624802
28	0.5171147561
29	0.5123913823
30	0.5089143507
31	0.5056963032
32	0.5011731621
33	0.4969709747
34	0.4923606924
35	0.4887479406
36	0.4847035311
37	0.4814318183
38	0.4781329097
39	0.4749190661
40	0.4720880418
41	0.4689905595
42	0.4654195876
43	0.4624154227
44	0.4588632908
45	0.4559195901
46	0.452572881
47	0.4503187322
48	0.4471462535
49	0.4447212479
50	0.441670061
51	0.4393996154
52	0.4361816199
53	0.4338550178
54	0.4309405372
55	0.4280692898
56	0.4260751633
57	0.423908052
58	0.4217749875
59	0.4195049571
60	0.4174337063
61	0.4147445783
62	0.41166796
63	0.4091081684
64	0.4071043365
65	0.4052237945
66	0.4025263365
67	0.4006339093
68	0.398072353
69	0.3965056802
70	0.3943556701
71	0.3923421068
72	0.3901219271
73	0.3882100631
74	0.3864600772
75	0.384580184
76	0.3825807636
77	0.3808809657
78	0.3789747848
79	0.3775406922
80	0.3758327977
81	0.3743107854
82	0.3728790543
83	0.3712059592
84	0.369876654
85	0.3682054014
86	0.3665178001
87	0.3649804771
88	0.3637672995
89	0.3619757412
90	0.360768169
91	0.3595002622
92	0.3575091719
93	0.3560247356
94	0.3551449419
95	0.3535083849
96	0.3528755344
97	0.351347268
98	0.3501292378
99	0.3491351588
100	0.3478705478
101	0.3466933374
102	0.3454604116
103	0.3439624293
104	0.3424620336
105	0.3409341306
106	0.340043282
107	0.3390292473
108	0.3379921686
109	0.3367585941
110	0.3355730277
111	0.334573084
112	0.3338668979
113	0.3327110706
114	0.3319160306
115	0.3311978554
116	0.3302036467
117	0.3293384889
118	0.3283599023
119	0.3271969127
120	0.3262614296
121	0.325007017
122	0.3240424954
123	0.3230911826
124	0.3223773671
125	0.3212697295
126	0.320525085
127	0.3194198608
128	0.3186145705
129	0.3177588846
130	0.3166620423
131	0.3157007127
132	0.3149182067
133	0.3138870966
134	0.3131902786
135	0.3124596213
136	0.3116420564
137	0.3110757685
138	0.3102642241
139	0.3090319212
140	0.3081682685
141	0.3073860999
142	0.3066525102
143	0.305928133
144	0.305107506
145	0.3042992832
146	0.3036696246
147	0.3029336735
148	0.3021981376
149	0.3017199769
150	0.3008290505
151	0.3001922815
152	0.2996257081
153	0.2984666111
154	0.297652264
155	0.2968988743
156	0.2963248532
157	0.2954036687
158	0.2945766838
159	0.2940873127
160	0.2933610151
161	0.2929322638
162	0.29223638
163	0.2915510061
164	0.2911996647
165	0.2906258771
166	0.2899943241
167	0.2894703872
168	0.2888330732
169	0.2883173106
170	0.2876736128
171	0.2873226088
172	0.2864805987
173	0.2859501222
174	0.2854819525
175	0.2845284079
176	0.2838371173
177	0.2828400541
178	0.2822857552
179	0.2818034685
180	0.2812323019
181	0.2807376888
182	0.2800352395
183	0.2796591934
184	0.2791033375
185	0.2784865503
186	0.2778902119
187	0.2772113515
188	0.276592073
189	0.2760478947
190	0.2753411637
191	0.2747065745
192	0.2742659381
193	0.2737476582
194	0.2730853541
195	0.272417834
196	0.2719332637
197	0.271258711
198	0.2706749326
199	0.2702157935
200	0.2695787391
201	0.2691024728
202	0.2687541417
203	0.2683252867
204	0.267990813
205	0.2675994043
206	0.2670566533
207	0.2664739388
208	0.2658542451
209	0.265428608
210	0.2648720514
211	0.2643503462
212	0.2638898577
213	0.2636154331
214	0.2630798444
215	0.262538365
216	0.2621276233
217	0.2616079421
218	0.2611461043
219	0.2606008101
220	0.2600488468
221	0.2596356139
222	0.2590589199
223	0.2584454802
224	0.2580239692
225	0.2576183137
226	0.2570345353
227	0.2564024633
228	0.2560671333
229	0.2556270677
230	0.2551288734
231	0.2546734194
232	0.2541495083
233	0.2537162936
234	0.2532545336
235	0.2529630856
236	0.2524810843
237	0.2519896631
238	0.2516501809
239	0.2512546721
240	0.2508651059
241	0.2506324612
242	0.2501110155
243	0.2497098235
244	0.2492708219
245	0.2489894945
246	0.2487041966
247	0.24837961
248	0.2479520006
249	0.2474292314
250	0.2468157658
251	0.2463101238
252	0.2458899102
253	0.245438167
254	0.2447844006
255	0.2443551304
256	0.2439546909
257	0.2434633735
258	0.2430377882
259	0.2426492081
260	0.2422549708
261	0.2418840888
262	0.2415182931
263	0.2410672506
264	0.240508592
265	0.2401661516
266	0.2398627145
267	0.2392575789
268	0.2389058742
269	0.2385549221
270	0.2379663947
271	0.2376423012
272	0.2372256947
273	0.236848377
274	0.2365678281
275	0.2360698414
276	0.2356126746
277	0.2353409229
278	0.2347555874
279	0.2343836934
280	0.2340348172
281	0.2335616391
282	0.2333821407
283	0.23295832
284	0.2326816896
285	0.2323940822
286	0.2318872465
287	0.2315749084
288	0.2312228144
289	0.2308560845
290	0.230504276
291	0.2301189656
292	0.2297844919
293	0.2294797313
294	0.2288557299
295	0.2286706263
296	0.2281915055
297	0.2276443689
298	0.2273288649
299	0.2268877094
300	0.2264864915
301	0.2260807063
302	0.225727782
303	0.225421127
304	0.2250835393
305	0.2246811017
306	0.2244556972
307	0.2241656505
308	0.2239558421
309	0.223594406
310	0.2231444274
311	0.222882978
312	0.2226335694
313	0.2223928542
314	0.2221097103
315	0.2216556056
316	0.2212416201
317	0.2209083401
318	0.2205805876
319	0.2203304784
320	0.2201539124
321	0.2198469201
322	0.2195644508
323	0.2192370356
324	0.2189743405
325	0.218637713
326	0.2183792737
327	0.2179637053
328	0.2176863482
329	0.2174731404
330	0.2172000003
331	0.216738876
332	0.2164977456
333	0.2162242682
334	0.2158981116
335	0.2155528815
336	0.2151644181
337	0.2149442037
338	0.2146511467
339	0.2144089134
340	0.21397976
341	0.2136420166
342	0.2134251238
343	0.2130582381
344	0.212797113
345	0.2125130867
346	0.2122740454
347	0.2119398571
348	0.2116985581
349	0.2112768264
350	0.210922864
351	0.2106109022
352	0.2102616239
353	0.2100282137
354	0.2095671543
355	0.2093271528
356	0.2090176433
357	0.2087155686
358	0.2084008171
359	0.2081584671
360	0.2078447147
361	0.2075416539
362	0.2072487656
363	0.2070810487
364	0.2068475866
365	0.2065678292
366	0.2063169025
367	0.205914413
368	0.2055468138
369	0.2052748544
370	0.204902597
371	0.2047893109
372	0.204293024
373	0.2039153689
374	0.2036057816
375	0.2033010989
376	0.2030428802
377	0.2027246903
378	0.2024426882
379	0.2022048275
380	0.201798173
381	0.2013884823
382	0.2011625199
383	0.2008761062
384	0.2006299674
385	0.2003691926
386	0.200064471
387	0.1997257674
388	0.1996566876
389	0.19955674
390	0.1992945768
391	0.1990867667
392	0.1987379554
393	0.1984964228
394	0.1982472219
395	0.1979793497
396	0.1977419302
397	0.1975824265
398	0.1973250512
399	0.1972260248
400	0.1969868147
401	0.1966956132
402	0.1964936808
403	0.1962585838
404	0.1960004949
405	0.1958026107
406	0.1953813722
407	0.1951448479
408	0.1949257494
409	0.1945880708
410	0.1943605125
411	0.1941525077
412	0.1936344095
413	0.1934491891
414	0.193186987
415	0.1928742597
416	0.1925116948
417	0.1922775061
418	0.1920490395
419	0.1918623658
420	0.1916429169
421	0.1914193549
422	0.1911352767
423	0.1908607094
424	0.1906818468
425	0.1903239789
426	0.1901566123
427	0.1900019743
428	0.1897568995
429	0.1894231783
430	0.1891280583
431	0.1888426177
432	0.1886162012
433	0.1883835565
434	0.1880018143
435	0.1876657836
436	0.1873699759
437	0.1871091882
438	0.1868738706
439	0.1866013144
440	0.1864131227
441	0.1861794011
442	0.1859572015
443	0.1857160062
444	0.1854959734
445	0.1852270373
446	0.1850387937
447	0.1847512641
448	0.1844155448
449	0.1842058143
450	0.183962024
451	0.1838310138
452	0.1835835515
453	0.1833013937
454	0.1828646368
455	0.182648769
456	0.1824951691
